"","symbol","weight"
"67498","ANO2",7
"63383","ANO3",3
"89333","ANO4",14
"87395","ANO5",6
"63070","ANO6",7
"86412","ANO7",2
"82168","ANO8",5
"35857","ANO9",3
"74583","ANP32A",2
"80502","ANP32B",2
"10498","ANP32D",1
"33851","ANP32E",2
"86413","ANPEP",11
"57982","ANTXR1",1
"83524","ANTXR2",1
"89574","ANTXRL",3
"81246","ANXA1",5
"88482","ANXA10",2
"90401","ANXA11",3
"86131","ANXA13",4
"72769","ANXA3",3
"74586","ANXA4",3
"85160","ANXA5",1
"74587","ANXA6",5
"18529","ANXA7",2
"56293","ANXA9",1
"89486","AOAH",1
"86414","AOC2",6
"74590","AOC3",3
"74592","AOX1",7
"86195","AP1AR",1
"81247","AP1B1",7
"84875","AP1G1",5
"81203","AP1G2",9
"36741","AP1M1",4
"60696","AP1M2",2
"87396","AP1S1",3
"70713","AP2A1",6
"90062","AP2A2",5
"74596","AP2B1",4
"65741","AP2M1",4
"74597","AP3B1",11
"40494","AP3B2",1
"50852","AP3D1",5
"74599","AP3M1",5
"80060","AP3M2",1
"18211","AP3S1",1
"57672","AP4B1",4
"60967","AP4E1",6
"82659","AP4M1",6
"40496","AP4S1",2
"71128","AP5B1",3
"51964","AP5M1",2
"61606","AP5Z1",3
"84077","APAF1",12
"74605","APBA1",9
"69079","APBA2",9
"17282","APBA3",2
"46271","APBB1",2
"87675","APBB1IP",6
"65742","APBB2",2
"89014","APBB3",7
"85162","APC",24
"82426","APC2",5
"34515","APCDD1",4
"17072","APCDD1L",1
"21218","APCS",1
"88483","APEX1",4
"67499","APEX2",4
"30974","APH1A",2
"73966","APH1B",2
"85163","API5",6
"38866","APITD1",1
"74616","APITD1-CORT",3
"81143","APLF",5
"23572","APLN",1
"47359","APLNR",2
"74619","APLP1",6
"37601","APLP2",4
"85164","APMAP",5
"69083","APOA1",4
"27313","APOA1BP",1
"74620","APOA4",1
"74621","APOA5",4
"85165","APOB",38
"85166","APOBEC1",2
"71129","APOBEC2",2
"36707","APOBEC3A",2
"37039","APOBEC3B",2
"59484","APOBEC3C",2
"74627","APOBEC3G",3
"46818","APOBEC3H",1
"84078","APOBR",20
"65744","APOC4",1
"73674","APOF",2
"73910","APOH",3
"37603","APOL1",3
"88376","APOL2",5
"7951","APOL3",1
"74628","APOL4",2
"67796","APOL5",4
"17284","APOL6",1
"70608","APOLD1",1
"74629","APOOL",2
"74630","APP",9
"70715","APPBP2",2
"63561","APPL1",3
"86419","APPL2",5
"64681","APTX",3
"68277","AQP10",4
"14559","AQP11",1
"90123","AQP12A",8
"72262","AQP12B",3
"86421","AQP3",1
"59747","AQP4",1
"31643","AQP5",1
"59888","AQP7",2
"5139","AQP8",1
"74632","AQPEP",3
"84079","AQR",6
"84080","AR",7
"87883","ARAF",6
"83061","ARAP1",6
"89112","ARAP2",10
"83822","ARAP3",10
"55120","ARC",1
"4596","ARCN1",1
"21711","AREG",1
"36743","ARF1",2
"65439","ARFGAP1",4
"80187","ARFGAP2",2
"69086","ARFGAP3",2
"83740","ARFGEF1",14
"83671","ARFGEF2",11
"83062","ARFIP1",2
"63511","ARFIP2",5
"48677","ARFRP1",3
"74640","ARG1",3
"74641","ARG2",2
"84082","ARGFX",3
"74642","ARGLU1",1
"62244","ARHGAP1",5
"29021","ARHGAP10",3
"74644","ARHGAP11A",9
"81878","ARHGAP12",6
"71525","ARHGAP15",4
"65748","ARHGAP17",9
"83905","ARHGAP18",4
"74646","ARHGAP19",1
"82977","ARHGAP20",7
"89113","ARHGAP21",7
"64417","ARHGAP22",1
"68456","ARHGAP23",5
"89216","ARHGAP24",8
"65749","ARHGAP25",6
"74649","ARHGAP26",8
"46664","ARHGAP27",2
"74650","ARHGAP28",6
"87530","ARHGAP29",16
"82245","ARHGAP30",4
"80911","ARHGAP31",15
"51989","ARHGAP32",6
"89249","ARHGAP33",7
"80280","ARHGAP35",11
"69093","ARHGAP36",6
"40528","ARHGAP39",3
"69094","ARHGAP4",6
"83600","ARHGAP40",6
"70716","ARHGAP42",6
"12669","ARHGAP44",1
"74658","ARHGAP5",15
"88484","ARHGAP6",5
"89076","ARHGAP9",5
"15106","ARHGDIA",1
"71426","ARHGDIB",1
"88485","ARHGEF1",10
"74661","ARHGEF10",5
"85169","ARHGEF10L",6
"90174","ARHGEF11",6
"89819","ARHGEF12",13
"83741","ARHGEF15",12
"64544","ARHGEF16",1
"85172","ARHGEF17",4
"30546","ARHGEF18",1
"87229","ARHGEF19",2
"90029","ARHGEF2",5
"80912","ARHGEF25",6
"87584","ARHGEF26",5
"73085","ARHGEF28",7
"40542","ARHGEF3",3
"74667","ARHGEF33",3
"71527","ARHGEF35",3
"48153","ARHGEF37",2
"57485","ARHGEF38",4
"37239","ARHGEF39",3
"89250","ARHGEF4",7
"74668","ARHGEF40",6
"86425","ARHGEF5",10
"74671","ARHGEF6",6
"84089","ARHGEF7",8
"85173","ARHGEF9",8
"85019","ARID1A",30
"88072","ARID1B",16
"74674","ARID2",12
"40549","ARID3A",2
"88377","ARID3B",4
"27798","ARID3C",3
"60969","ARID4A",3
"88378","ARID4B",16
"90175","ARID5A",1
"58100","ARID5B",7
"30547","ARIH1",1
"68965","ARIH2",2
"74677","ARL1",2
"22556","ARL10",1
"36038","ARL11",2
"73675","ARL13A",1
"12820","ARL13B",1
"40551","ARL14EP",1
"6319","ARL15",1
"56046","ARL17B",2
"13025","ARL2",1
"29029","ARL3",1
"80032","ARL4A",1
"40215","ARL5A",1
"30548","ARL5B",1
"8378","ARL6",2
"18261","ARL6IP1",1
"28468","ARL6IP4",1
"89762","ARL6IP5",1
"81055","ARL6IP6",4
